TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr2,dist1,dist2,P_emaildomain,R_emaildomain,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,M1,M2,M3,M4,M5,M6
2987000,0,86400,68.5,W,13926,,150,discover,142,credit,87,19,,,,1,1,0,0,0,1,0,0,1,0,2,0,1,1,14,,13,,,,,,,13,13,,,,0,T,T,T,M2,F,T
2987001,0,86401,29,W,2755,404,150,mastercard,102,credit,87,,,gmail.com,,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,,,0,,,,,,0,,,,,0,,,,M0,T,T
2987002,0,86469,59,W,4663,490,150,visa,166,debit,87,287,,outlook.com,,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,,,0,,,,,,0,315,,,,315,T,T,T,M0,F,F
2987003,0,86499,50,W,18132,567,150,mastercard,117,debit,87,,,yahoo.com,,2,5,0,0,0,4,0,0,1,0,1,0,25,1,112,112,0,94,0,,,,,84,,,,,111,,,,M0,T,F
2987004,0,86506,50,H,4497,514,150,mastercard,102,credit,87,,,gmail.com,,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,
2987005,0,86510,49,W,5937,555,150,visa,226,debit,87,36,,gmail.com,,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,,,0,,,,,,0,0,,,,0,T,T,T,M1,F,T
2987006,0,86522,159,W,12308,360,150,visa,166,debit,87,0,,yahoo.com,,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,,,0,,,,,,0,0,,,,0,T,T,T,M0,F,F
2987007,0,86529,422.5,W,12695,490,150,visa,226,debit,87,,,mail.com,,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,,,0,,,,,,0,,,,,0,,,,M0,F,F
2987008,0,86535,15,H,2803,100,150,visa,226,debit,87,,,anonymous.com,,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,
2987009,0,86536,117,W,17399,111,150,mastercard,224,debit,87,19,,yahoo.com,,2,2,0,0,0,3,0,0,3,0,1,0,12,2,61,61,30,318,30,,,,,40,302,,,,318,T,T,T,M0,T,T
2987010,0,86549,75.887,C,16496,352,117,mastercard,134,credit,,,,gmail.com,gmail.com,1,4,0,1,0,1,1,1,0,1,2,2,2,1,1,1,0,0,0,0,0,83,0,0,,0,0,0,0,,,,M0,,
2987011,0,86555,16.495,C,4461,375,185,mastercard,224,debit,,,30,hotmail.com,hotmail.com,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,,,0,,0,,,,0,,0,0,0,0,,,,M0,,
2987012,0,86564,50,W,3786,418,150,visa,226,debit,87,,,verizon.net,,4,2,0,0,0,1,0,0,1,0,2,0,6,3,72,72,11,107,11,,,,,107,,,,,107,,,,M1,F,F
2987013,0,86585,40,W,12866,303,150,visa,226,debit,87,,,aol.com,,6,5,0,0,2,3,0,0,3,0,5,0,24,6,46,46,10,45,10,,,,,45,,,,,45,,,,,,F
2987014,0,86596,10.5,W,11839,490,150,visa,226,debit,87,,,yahoo.com,,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,,,0,,,,,,0,,,,,0,,,,M0,F,F
2987015,0,86618,57.95,W,7055,555,150,visa,226,debit,87,3,,,,4,4,0,0,1,5,0,0,2,0,3,0,22,3,0,,,,,,,,,465,423,,,,0,T,T,F,,,F
2987016,0,86620,30,H,1790,555,150,visa,226,debit,87,,,aol.com,,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,,,,,,,26,0,,,,,,,,,,,,
2987017,0,86668,100,H,11492,111,150,mastercard,219,credit,87,,,yahoo.com,,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,,,,,,,21,0,,,,,,,,,,,,
2987018,0,86725,47.95,W,4663,490,150,visa,166,debit,87,5,,gmail.com,,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,,,0,,,,,,0,237,,,,0,T,T,F,,,F
2987019,0,86730,186,W,7005,111,150,visa,226,debit,87,,,gmail.com,,2,5,0,0,0,7,0,0,2,0,2,0,25,2,62,62,2,35,2,,,,,50,,,,,62,,,,M1,F,F
2987020,0,86761,39,W,7875,314,150,mastercard,224,debit,87,0,,gmail.com,,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,,,0,,,,,,0,0,,,,0,T,T,T,M0,F,F
2987021,0,86769,159.95,W,11401,543,150,mastercard,117,debit,87,,,gmail.com,,127,120,0,0,168,99,0,0,81,0,80,0,673,111,485,485,3,358,40,,,,,485,,,,,109,,,,,,F
2987022,0,86786,50,H,1724,583,150,visa,226,credit,87,,,gmail.com,,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,
2987023,0,86808,107.95,W,2392,360,150,mastercard,166,debit,87,4,,gmail.com,,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,,,0,,,,,,0,0,,,,0,T,T,T,,,F
2987024,0,86821,73.95,W,10112,360,150,visa,166,debit,87,,,gmail.com,,3,5,0,0,3,3,0,0,3,0,4,0,10,3,66,66,35,65,35,,,,,0,,,,,65,,,,,,F
2987025,0,86944,107.95,W,15385,111,150,mastercard,224,debit,87,,,gmail.com,,4,1,0,0,3,2,0,0,1,0,1,0,5,3,0,,,24,1,,,,,26,,,,,26,,,,,,F
2987026,0,86945,184,W,17868,148,150,visa,226,debit,87,,,me.com,,2,1,0,0,0,1,0,0,1,0,1,0,4,2,0,,,244,90,,,,,244,,,,,244,,,,M0,F,T
2987027,0,86972,47.95,W,11307,321,150,visa,226,debit,87,17,,yahoo.com,,4,2,0,0,1,2,0,0,4,0,3,0,4,3,0,,,35,35,,,,,0,35,,,,0,T,T,F,,,T
2987028,0,86973,20,W,8431,269,150,mastercard,224,debit,87,,,,,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,,,,,,,0,,,,,0,,,,M1,T,F
2987029,0,86979,36.99,W,12932,361,150,visa,226,debit,87,,,gmail.com,,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,,,0,,,,,,0,,,,,0,,,,M0,T,F
2987030,0,86994,35,W,13276,555,150,visa,226,debit,87,,,gmail.com,,3,2,0,0,1,2,0,0,1,0,1,0,19,3,169,169,56,391,56,,,,,264,,,,,391,,,,,,F
2987031,0,86998,363.89,W,6573,583,150,visa,226,credit,87,13,,yahoo.com,,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,,,0,,,,,,0,0,,,,0,T,T,T,,,T
2987032,0,87008,200,W,7835,361,150,visa,226,debit,87,,,yahoo.com,,4,4,0,0,0,1,0,0,2,0,1,0,11,3,29,29,1,259,1,,,,,28,,,,,259,,,,M0,T,T
2987033,0,87078,40,W,8613,272,150,mastercard,224,debit,87,,,yahoo.com,,2,2,0,0,0,1,0,0,2,0,2,0,6,2,121,121,121,400,121,,,,,121,,,,,121,,,,M1,T,F
2987034,0,87135,107.95,W,17359,555,150,visa,226,debit,87,2,,yahoo.com,,1,1,0,0,1,2,0,0,1,0,1,0,2,1,245,245,245,0,,,,,,245,245,,,,245,T,T,T,,,T
2987035,0,87140,107.95,W,9766,360,150,visa,226,debit,87,664,,yahoo.com,,3,2,0,0,1,1,0,0,3,0,2,0,4,2,201,201,86,290,200,,,,,290,0,,,,290,T,F,F,,,F
2987036,0,87149,77,W,4806,490,150,visa,226,debit,87,20,,gmail.com,,8,4,0,0,0,6,0,0,4,0,5,0,18,5,478,478,210,477,109,,,,,0,446,,,,477,T,F,F,M1,T,T
2987037,0,87161,21.95,W,13249,111,150,visa,226,debit,87,,,gmail.com,,92,86,0,0,121,72,0,0,76,0,73,0,498,79,0,,,0,,,,,,0,,,,,0,,,,,,T
2987038,0,87172,25,S,5463,399,150,american express,137,credit,87,,98,,gmail.com,1,2,0,1,0,0,0,6,0,93,1,0,96,1,542,542,,,,537,4,29,0,520,,,,,541,,,,,,
2987039,0,87202,39.95,W,12598,111,150,visa,166,debit,87,,,yahoo.com,,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,,,0,,,,,,0,,,,,0,,,,,,T
2987040,0,87209,75.887,C,13329,569,117,visa,226,credit,,,,gmail.com,gmail.com,2,5,0,1,0,1,1,1,0,1,2,2,3,2,0,,,0,0,0,0,83,0,0,,0,0,0,0,,,,M0,,
2987041,0,87220,774,W,9002,453,150,visa,226,debit,87,0,,gmail.com,,2,5,0,0,0,4,0,0,4,0,1,0,10,2,181,181,0,0,,,,,,181,0,,,,389,T,T,F,M0,T,F
2987042,0,87233,117,W,13085,417,150,visa,195,debit,87,6,,gmail.com,,2,2,0,0,0,1,0,0,1,0,1,0,2,2,0,,,22,22,,,,,0,22,,,,22,T,T,T,M0,T,F
2987043,0,87248,49,W,10776,512,150,visa,166,debit,87,0,,gmail.com,,2,1,0,0,0,1,0,0,1,0,2,0,1,1,0,,,0,,,,,,0,358,,,,0,T,T,F,M0,T,T
2987044,0,87266,39.5,W,9281,555,150,visa,195,debit,87,,,gmail.com,,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,,,0,,,,,,0,,,,,0,,,,M0,F,F
